,0
0,3
1,2
2,2
3,2
4,3
5,2
6,3
7,3
8,3
9,3
10,2
11,2
12,3
13,3
14,3
15,2
16,3
17,3
18,2
19,2
20,3
21,3
22,2
23,3
24,3
25,2
26,2
27,2
28,3
29,2
30,3
31,3
32,2
33,2
34,2
35,3
36,2
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,2
47,3
48,2
49,2
50,3
51,2
52,3
53,2
54,2
55,2
56,3
57,3
58,3
59,3
60,2
61,3
62,2
63,3
64,3
65,2
66,2
67,3
68,3
69,2
70,2
71,2
72,2
73,2
74,3
75,2
76,3
77,3
78,3
79,3
80,3
81,3
82,2
83,2
84,3
85,3
86,2
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,3
103,2
104,2
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,2
126,3
127,3
128,3
129,3
130,3
131,2
132,3
133,2
134,3
135,3
136,3
137,3
138,2
139,2
140,2
141,2
142,3
143,2
144,2
145,2
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,2
154,3
155,2
156,3
157,3
158,3
159,2
160,2
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,2
170,2
171,2
172,3
173,2
174,3
175,3
176,3
177,2
178,3
179,2
180,2
181,2
182,2
183,3
184,2
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,2
195,3
196,3
197,2
198,3
199,2
200,3
201,2
202,2
203,2
204,2
205,2
206,3
207,3
208,3
209,3
210,3
211,2
212,2
213,3
214,3
215,3
216,2
217,2
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,2
228,3
229,2
230,3
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,3
241,3
242,3
243,3
244,3
245,3
246,2
247,3
248,2
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,2
260,3
261,2
262,2
263,3
264,3
265,3
266,3
267,3
268,3
269,3
270,3
271,3
272,2
273,2
274,3
275,3
276,3
277,3
278,3
279,2
280,3
281,3
282,3
283,3
284,2
285,3
286,3
287,3
288,2
289,2
290,2
291,2
292,2
293,3
294,2
295,3
296,3
297,3
298,2
299,3
300,3
301,3
302,2
303,3
304,3
305,3
306,2
307,3
308,2
309,2
310,2
311,3
312,3
313,2
314,3
315,3
316,2
317,2
318,2
319,3
320,2
321,2
322,3
323,2
324,2
325,2
326,2
327,3
328,3
329,2
330,2
331,3
332,3
333,2
334,2
335,3
336,2
337,3
338,3
339,2
340,3
341,2
342,3
343,3
344,2
345,3
346,3
347,3
348,2
349,2
350,2
351,2
352,2
353,3
354,3
355,2
356,3
357,3
358,3
359,3
360,2
361,2
362,2
363,3
364,4
365,3
366,3
367,2
368,4
369,3
370,3
371,2
372,2
373,3
374,2
375,2
376,2
377,3
378,3
379,3
380,3
381,3
382,3
383,3
384,2
385,3
386,3
387,2
388,3
389,2
390,3
391,2
392,3
393,3
394,2
395,3
396,2
397,3
398,3
399,2
400,3
401,2
402,3
403,3
404,3
405,3
406,2
407,3
408,3
409,2
410,3
411,2
412,3
413,2
414,2
415,3
416,3
417,3
418,2
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,2
428,2
429,3
430,3
431,3
432,3
433,3
434,3
435,2
436,3
437,3
438,2
439,3
440,2
441,3
442,3
443,3
444,3
445,3
446,2
447,2
448,2
449,3
450,3
451,3
452,2
453,3
454,2
455,2
456,3
457,2
458,3
459,2
460,3
461,3
462,3
463,2
464,2
465,2
466,3
467,2
468,3
469,2
470,2
471,2
472,3
473,3
474,2
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,2
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,2
495,3
496,3
497,2
498,3
499,3
500,3
501,3
502,3
